sample_id,replicate,start_quant,std_type,dilution,bd_load
RKS14296,1,0,genomic,1,0
RKS12951,1,39.46,genomic,1,189408
RKS1908,2,0,genomic,1,0
RKS13392,1,2.38,genomic,1,11424
RKS17347,1,0,genomic,1,0
RKS6799,1,0,genomic,1,0
RKS11145,1,0,genomic,1,0
RKS15594,1,0,genomic,1,0
RKS12432,1,14.09,genomic,1,67632
DESO1108,1,0,genomic,1,0
RKS13531,1,0,genomic,1,0
RKS5543,1,31.54,genomic,1,151392
RKS9724,1,344.29,genomic,1,1652592
RKS18686,1,0.2244,genomic,1,1077.12
RKS7554,1,12,genomic,1,57600
RKS21640,1,261.3523,gblock,1,20908.184
RKS19975,2,893673,gblock,1,71493840
RKS15166,2,0.05,genomic,1,240
RKS16246,1,0,genomic,1,0
RKS11332,1,0.36,genomic,1,1728
SFZ2189,1,0,genomic,1,0
RKS10589,1,52.03,genomic,1,249744
RKS6764,1,26.96,genomic,1,129408
RKS5854,3,0.83,genomic,1,3984
RKS15460,1,1.91,genomic,1,9168
RKS11472,1,19.95,genomic,1,95760
SFZ2600,1,0,genomic,1,0
OAZ1314,1,0,genomic,1,0
RKS13312,1,13.04,genomic,1,62591.99999999999
RKS10315,1,23.68,genomic,1,113664
RKS20738,1,0,gblock,1,0
RKS15581,1,0,genomic,1,0
DESO2265,1,0,genomic,1,0
RKS12193,1,12.98,genomic,1,62304
RKS19790,1,43.4117,genomic,1,208376.16
RKS1777,1,2.85,genomic,1,13680
RKS15585,1,0,genomic,1,0
RKS21952,1,52863.2328,gblock,1,4229058.624
RKS11458,1,0,genomic,1,0
RKS7406,1,0.14,genomic,1,672.0000000000001
RKS3555,3,0,genomic,1,0
RKS8134,1,0,genomic,1,0
RKS6716,1,1.71,genomic,1,8208
RKS6729,1,0.39,genomic,1,1872
RKS10204,1,38.4,genomic,1,184320
RKS19849,2,108,gblock,1,8640
RKS4345,1,673.02,genomic,1,3230496
RKS16264,1,0,genomic,1,0
RKS2817,1,0,genomic,1,0
RKS3591,2,0.65,genomic,1,3120
RKS10382,1,14.03,genomic,1,67344
RKS13639,1,0,genomic,1,0
RKS6667,1,23.77,genomic,1,114096
RKS19984,2,13527,gblock,1,1082160
RKS3792,1,0,genomic,1,0
RKS1423,1,0,genomic,1,0
RKS10629,1,0,genomic,1,0
RKS3774,1,0.37,genomic,1,1776
RKS4020,1,0,genomic,1,0
RKS16483,1,0,genomic,1,0
RKS7880,1,34.34,genomic,1,164832.00000000003
DESO1320,1,0.73,genomic,1,3504
RKS15077,2,0.2,genomic,1,960
RKS1913,1,0,genomic,1,0
RKS3405,1,0,genomic,1,0
RKS8641,1,0,genomic,1,0
RKS9068,1,1.21,genomic,1,5808
RKS5664,1,0.02,genomic,1,96
RKS5358,1,0,genomic,1,0
RKS5533,1,0,genomic,1,0
SFZ1241,1,0,genomic,1,0
RKS18618,2,449309,gblock,1,35944720
RKS15832,1,0,genomic,1,0
SFZ2376,1,0,genomic,1,0
DESO2055,1,0.01,genomic,1,48
DESO1533,1,0.01,genomic,1,48
RKS5680,1,3.87,genomic,1,18576
RKS18849,2,9,gblock,1,720
RKS18711,1,85.1229,genomic,1,408589.92
RKS5715,3,7.14,genomic,1,34272
RKS17656,1,3.08,genomic,1,14784
RKS11874,1,14.56,genomic,1,69888
RKS19367,1,1.1603,genomic,1,5569.44
RKS14853,1,0,genomic,1,0
DESO1889,1,0.22,genomic,1,1056
RKS10145,1,16.44,genomic,1,78912
RKS4722,1,23.79,genomic,1,114192
RKS2866,1,0,genomic,1,0
RKS12357,1,3.04,genomic,1,14592
RKS9753,1,0,genomic,1,0
RKS4823,1,0.01,genomic,1,48
RKS3535,3,0,genomic,1,0
